scenario,symbol,side,eventTime,signalTime,entryTime,exitTime,entryPrice,exitPrice,entryFill,exitFill,quantity,premium,premiumMean,premiumDeviation,premiumZscore,signalFundingRate,signalFundingIntervalHours,grossPriceReturn,priceReturnAfterSlippage,fees,fundingEventsDuringHold,fundingReturn,netReturn
base,SOLUSDT,-1,1709164800000,1709164799999,1709165100000,1709168700000,119.066,122.151,119.0540934,122.16321509999999,0.008398703240219709,0.00296054,0.00030343866666666654,0.0005554294434791835,4.783868346426465,0.00089,8,-0.02590999949607775,-0.026112590496027314,0.0010129562952480135,0,0,-0.027125546791275327
base,DOGEUSDT,-1,1709568000000,1709567999999,1709568300000,1709571900000,0.16966,0.17838,0.169643034,0.178397838,5.894141223623718,0.00274679,0.00040462000000000007,0.0005834315930593537,4.014472352651163,0.00061052,8,-0.051396911469998856,-0.05160205116114585,0.001025701025580573,0,0,-0.052627752186726426
base,BTCUSDT,-1,1710144000000,1710143999999,1710144300000,1710147900000,71515.6,71400.8,71508.44844000001,71407.94008,0.000013982963157688672,0.00278763,0.0006103463333333333,0.00034710812345010913,6.272638176904016,0.00078428,8,0.0016052441705027,0.0014054046949198088,0.00099919729765254,0,0,0.0004062073972672688
base,ETHUSDT,-1,1710144000000,1710143999999,1710144300000,1710147900000,4004.3,4016.2,4003.89957,4016.60162,0.00024973153859600926,0.00273942,0.0005898853333333334,0.0004088744586761966,5.257199663745602,0.00067235,8,-0.0029718053092924195,-0.0031721024898234075,0.0010014860512449115,0,0,-0.004173588541068319
base,SOLUSDT,-1,1710144000000,1710143999999,1710144300000,1710147900000,148.296,149.991,148.2811704,150.00599910000003,0.006743270216324109,0.00252337,0.0007485133333333336,0.0004380054175464042,4.052134050325143,0.00066664,8,-0.01142984301666951,-0.01163098600097115,0.0010057154930004856,0,0,-0.012636701493971635
base,SOLUSDT,1,1760140800000,1760140799999,1760141100000,1760144700000,188.81,186.78,188.828881,186.761322,0.005296329643557015,-0.00343474,-0.000459437888888889,0.00011499310891414458,-25.873742689507697,-0.00302761,8,-0.010751549176420745,-0.010950474021503037,0.0009946247629892485,0,0,-0.011945098784492285
stress,SOLUSDT,-1,1709164800000,1709164799999,1709165100000,1709168700000,119.066,122.151,118.9826538,122.23650569999998,0.008398703240219709,0.00296054,0.00030343866666666654,0.0005554294434791835,4.783868346426465,0.00089,8,-0.02590999949607775,-0.027328136495724943,0.0010129640682478623,0,0,-0.028341100563972807
stress,DOGEUSDT,-1,1709568000000,1709567999999,1709568300000,1709571900000,0.16966,0.17838,0.169541238,0.17850486599999998,5.894141223623718,0.00274679,0.00040462000000000007,0.0005834315930593537,4.014472352651163,0.00061052,8,-0.051396911469998856,-0.05283288930802767,0.001025716444654014,0,0,-0.05385860575268168
stress,BTCUSDT,-1,1710144000000,1710143999999,1710144300000,1710147900000,71515.6,71400.8,71465.53908,71450.78056,0.000013982963157688672,0.00278763,0.0006103463333333333,0.00034710812345010913,6.272638176904016,0.00078428,8,0.0016052441705027,0.000206367841422054,0.000999196816079289,0,0,-0.0007928289746572349
stress,ETHUSDT,-1,1710144000000,1710143999999,1710144300000,1710147900000,4004.3,4016.2,4001.49699,4019.0113399999996,0.00024973153859600926,0.00273942,0.0005898853333333334,0.0004088744586761966,5.257199663745602,0.00067235,8,-0.0029718053092924195,-0.004373885573008882,0.0010014869427865042,0,0,-0.005375372515795386
stress,SOLUSDT,-1,1710144000000,1710143999999,1710144300000,1710147900000,148.296,149.991,148.1921928,150.0959937,0.006743270216324109,0.00252337,0.0007485133333333336,0.0004380054175464042,4.052134050325143,0.00066664,8,-0.01142984301666951,-0.012837843906781178,0.0010057189219533904,0,0,-0.013843562828734567
